Criterion ID,Category
"13511,""/Arts & Entertainment/TV & Video/Blu-Ray Discs"""
"10561,""/Arts & Entertainment/TV & Video/DVD & Blu-Ray Retailers"""
"13824,""/Arts & Entertainment/TV & Video/DVD & Video Rentals"""
"10558,""/Arts & Entertainment/TV & Video/Entertainment DVDs"""
"10553,""/Arts & Entertainment/TV & Video/Movie & TV Fan Sites"""
"13572,""/Arts & Entertainment/TV & Video/Movie & TV Reference"""
"10560,""/Arts & Entertainment/TV & Video/Movie & TV Reference/Movie Reviews, Previews & Listings"""
"13730,""/Arts & Entertainment/TV & Video/Movie & TV Reference/TV Guides & Reference"""
"10556,""/Arts & Entertainment/TV & Video/Video Clips"""
"10562,""/Arts & Entertainment/TV & Video/Video On Demand"""
"13388,""/Arts & Entertainment/Visual Art & Design"""
"13595,""/Arts & Entertainment/Visual Art & Design/Painting"""
"10005,""/Beauty & Personal Care"""
"10050,""/Beauty & Personal Care/Anti-Aging"""
"11434,""/Beauty & Personal Care/Anti-Aging/Anti-Aging Creams & Moisturizers"""
"13422,""/Beauty & Personal Care/Body Art"""
"10898,""/Beauty & Personal Care/Body Art/Body Jewelry & Piercings"""
"10315,""/Beauty & Personal Care/Body Art/Tattoo Removal"""
"13636,""/Beauty & Personal Care/Fashion & Style"""
"13637,""/Beauty & Personal Care/Fashion & Style/Fashion Designers & Collections"""
"13638,""/Beauty & Personal Care/Fashion & Style/Fashion Modeling"""
"11414,""/Beauty & Personal Care/Fashion & Style/Virtual Makeovers"""
"10055,""/Beauty & Personal Care/Hair Care"""
"10335,""/Beauty & Personal Care/Hair Care/Damaged Hair"""
"10337,""/Beauty & Personal Care/Hair Care/Hair Dyes & Coloring"""
"10477,""/Beauty & Personal Care/Hair Care/Hair Loss"""
"11727,""/Beauty & Personal Care/Hair Care/Hair Loss/Hair Loss Procedures"""
"11726,""/Beauty & Personal Care/Hair Care/Hair Loss/Hair Loss Products"""
"10336,""/Beauty & Personal Care/Hair Care/Hair Straighteners & Relaxers"""
"10339,""/Beauty & Personal Care/Hair Care/Hair Styling"""
"10340,""/Beauty & Personal Care/Hair Care/Hair Styling/Hair Brushes & Styling Equipment"""
"10333,""/Beauty & Personal Care/Hair Care/Hair Styling/Hair Salons & Styling Services"""
"10338,""/Beauty & Personal Care/Hair Care/Shampoos & Conditioners"""
"10332,""/Beauty & Personal Care/Hair Care/Wigs & Wig Accessories"""
"10060,""/Beauty & Personal Care/Hygiene & Toiletries"""
"10355,""/Beauty & Personal Care/Hygiene & Toiletries/Antiperspirants, Deodorants & Body Spray"""
"10354,""/Beauty & Personal Care/Hygiene & Toiletries/Cotton Swabs, Balls & Pads"""
"10356,""/Beauty & Personal Care/Hygiene & Toiletries/Feminine Hygiene Products"""
"11432,""/Beauty & Personal Care/Hygiene & Toiletries/Feminine Hygiene Products/Sanitary Pads & Napkins"""
"11433,""/Beauty & Personal Care/Hygiene & Toiletries/Feminine Hygiene Products/Tampons"""
"13866,""/Beauty & Personal Care/Insect Repellent"""
"10053,""/Beauty & Personal Care/Lip Care"""
"10054,""/Beauty & Personal Care/Make-Up & Cosmetics"""
"10325,""/Beauty & Personal Care/Make-Up & Cosmetics/Blush"""
"10329,""/Beauty & Personal Care/Make-Up & Cosmetics/Concealer"""
"10324,""/Beauty & Personal Care/Make-Up & Cosmetics/Eye Make-Up"""
"11419,""/Beauty & Personal Care/Make-Up & Cosmetics/Eye Make-Up/Eyeshadow"""
"11420,""/Beauty & Personal Care/Make-Up & Cosmetics/Eye Make-Up/Mascara & Eyelash Products"""
"10327,""/Beauty & Personal Care/Make-Up & Cosmetics/Face Powder"""
"10330,""/Beauty & Personal Care/Make-Up & Cosmetics/Foundation"""
"10323,""/Beauty & Personal Care/Make-Up & Cosmetics/Lipsticks & Lip Glosses"""
"10331,""/Beauty & Personal Care/Make-Up & Cosmetics/Make-Up Brushes & Tools"""
"10051,""/Beauty & Personal Care/Nail Care"""
"10322,""/Beauty & Personal Care/Nail Care/Manicures & Pedicures"""
"10320,""/Beauty & Personal Care/Nail Care/Nail Care Tools"""
"10321,""/Beauty & Personal Care/Nail Care/Nail Fungus Products"""
"10319,""/Beauty & Personal Care/Nail Care/Nail Polish & Nail Polish Accessories"""
"10059,""/Beauty & Personal Care/Oral Care"""
"10345,""/Beauty & Personal Care/Oral Care/Canker Sore Treatments"""
"10349,""/Beauty & Personal Care/Oral Care/Dental Care Gum"""
"10347,""/Beauty & Personal Care/Oral Care/Dental Floss & Gum Health"""
"10353,""/Beauty & Personal Care/Oral Care/Denture Care"""
"10348,""/Beauty & Personal Care/Oral Care/Mouthwash"""
